AGFG1
AGO4
AHSA1
AKTIP
ALG8
ANP32A
ANP32B
AP2M1
ARF3
ATG12
AVEN
B4GALT1
BUB3
BZW1
CA5B
CACYBP
CARHSP1
CCT4
CCT7
CCT8
CDC23
CENPC
CFL1
CNIH1
CNOT9
CPEB3
CTBP2
CUL4B
CWC25
DDX23
DDX52
DDX56
DENR
DNAJA1
DYNLL1
EHBP1
EIF2B1
EIF2S1
EIF2S2
EIF3B
EIF3J
EIF3M
ELAVL1
ERCC1
ERF
ERLIN1
EXOSC2
FAF2
FANCL
FCHSD2
FXR1
GALNT2
GAR1
GGA2
GLRX2
GMPS
HCCS
HNRNPA0
HNRNPA2B1
HNRNPAB
HNRNPC
HNRNPD
HNRNPF
HNRNPK
HNRNPL
HNRNPM
HNRNPR
HNRNPU
HSP90AA1
HSPA4
HSPA9
IKZF4
IMMT
INPP4A
INPP5B
INTS7
JOSD1
KCMF1
KHDRBS1
KPNA4
LBR
LDHA
LMAN1
LPGAT1
MAGOHB
MAPK1IP1L
MAU2
MED6
MFSD5
MIEF1
MRPL44
MTA2
MTIF2
MYLIP
MYO6
NCBP1
NCBP2
NOLC1
NUP37
NUP50
NUP62
PA2G4
PES1
PGS1
PKM
PPID
PPM1G
PPP2CA
PRDM2
PRPF4
PSMA5
PSMB7
PSMC5
PSMC6
PSMD11
PSMD12
PSMD2
PTBP1
PTGES3
PWP1
R3HDM1
RAB1A
RAB35
RAD23B
RBBP7
RBM14
REXO4
RFXAP
RPE
RRM1
RTCA
RUFY3
RUVBL2
SAE1
SAMM50
SARM1
SEC61G
SERBP1
SFXN1
SHC1
SMNDC1
SMS
SNRNP27
SNRPA1
SNRPE
SNW1
SPATS2
SPDL1
SPTLC1
SRSF1
STRAP
TARDBP
TFG
TGIF1
TIMM17A
TLE1
TM9SF3
TMA16
TMX2
TNPO1
TOMM40
TRIM28
TRIM38
TSN
U2SURP
UBE2G1
UBE2K
UBE2M
UBE2V2
UCHL5
USP14
USP4
VCP
VDAC1
VDAC2
WDR19
XRCC5
XRCC6
YKT6
YWHAZ
YY1
ZC3H15
ZNF14
ZNF451
ANAPC4
ANKRD13A
CISD2
CLPTM1
COPZ1
CPSF2
CSNK1E
CWC27
CYP20A1
DCUN1D1
DERL1
DNAJC27
DUSP12
EPC1
EPM2AIP1
EZH1
FAM13B
FAM76A
FARSB
FBXO42
GNPNAT1
GRWD1
GSK3A
GTF3C6
IWS1
KMT2E
LYAR
MBTPS2
PCBP1-AS1
PCF11
PELO
PGPEP1
PHF14
PPIA
RAC1
RNF4
RSRC1
SLC25A5-AS1
SLC39A9
SLC44A1
SMG9
SMIM15
TPM3
UBAC2
UBQLN1
VTA1
WDR37
WDR4
ZCCHC9
ZDHHC5
ZFAND4
ZFP90
ZMYM6
ZNF101
ZNF333
ZNF394
ZNF44
ZNF441
ZNF555
ZNF589
